id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
80,CANAIMA,Sector Medio,4.1446,-73.6343,8.0,6000,10000,16000,30
81,PORTAL DEL CANAIMA,Sector Medio,4.1526,-73.6329,8.0,6000,10000,16000,30
82,SAN NISIDRO,Sector Medio,4.1442,-73.6304,8.0,6000,10000,16000,30
83,SANTA INES,Sector Medio,4.1509,-73.6339,8.0,6000,10000,16000,30
84,HOTEL ROSADO,Sector Medio,4.1456,-73.6357,8.0,6000,10000,16000,30
85,VILLA DEL SOL,Sector Medio,4.1443,-73.6354,8.0,6000,10000,16000,30
86,LA MORGUE,Sector Medio,4.1447,-73.6377,8.0,6000,10000,16000,30
87,SAN MARCOS,Sector Medio,4.1455,-73.6313,8.0,6000,10000,16000,30
88,CONJONTO TOSCANA,Sector Medio,4.1457,-73.636,8.0,6000,10000,16000,30
89,QUINTAS DE TOSCANA,Sector Medio,4.1471,-73.6372,8.0,6000,10000,16000,30
90,FLORIDA,Sector Medio,4.1534,-73.6352,8.0,6000,10000,16000,30
91,NUEVA FLORESTA,Sector Medio,4.1515,-73.6362,8.0,6000,10000,16000,30
92,TEUSACA,Sector Medio,4.15,-73.6363,8.0,6000,10000,16000,30
93,EMBUDO,Sector Medio,4.1478,-73.6304,8.0,6000,10000,16000,30
94,SANBENITO,Sector Medio,4.1438,-73.6315,8.0,6000,10000,16000,30
95,NUEVO RICAUTE,Sector Medio,4.145,-73.6323,8.0,6000,10000,16000,30
96,PORVENIR,Sector Medio,4.1532,-73.6355,8.0,6000,10000,16000,30
97,VIENTE JULIO,Sector Medio,4.1518,-73.6327,8.0,6000,10000,16000,30
98,SIMON BOLIVAR,Sector Medio,4.1515,-73.6375,8.0,6000,10000,16000,30
99,ANTONIO RICAUTE,Sector Medio,4.152,-73.6332,8.0,6000,10000,16000,30
100,BARRIO NOGALES,Sector Medio,4.1475,-73.633,8.0,6000,10000,16000,30
101,CANEY,Sector Medio,4.1468,-73.6318,8.0,6000,10000,16000,30
102,BRISAS DEL CANEY,Sector Medio,4.1468,-73.6318,8.0,6000,10000,16000,30
103,AMARAL,Sector Medio,4.1441,-73.6389,8.0,6000,10000,16000,30
